record_id,title,language,mobile_category,record_type,citation_url,is_accepted,old_quality_score,new_quality_score,quality_flags,content_length_before,content_length_after,ui_noise_removed,code_before,code_after,quota_before,quota_after,kix_units,has_price,has_code,has_kix_units,has_quota,possible_issue
a7f73221c8662e10cd7d241c22cd914b4e84a24d79fbcacc3ebd469b3ba4913d,Super Kix,en,control_plans,plan,https://te.eg/en/personal/mobile/control/super-kix,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;ui_noise_title_replaced;subscription_code_extracted;kix_units_extracted;consumption_rules_extracted;quota_from_consumption_rule_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built,573,380,True,*707*29#,*707*29#,1 MB,,750,False,True,True,False,
ae08befe49a6f957a16a5e74d738e8b6a99c0d56bbc63e47048e34b071223f92,750 Kix,en,control_plans,plan,https://te.eg/en/personal/mobile/control/super-kix,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;kix_units_extracted;consumption_rules_extracted;quota_from_consumption_rule_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built,511,378,True,*707*29#,*707*29#,1 MB,,750,False,True,True,False,
0f1fbaa6b93245b2047edf6b5475da5e60d8003e4814686582b689b990585aaf,Super Kix 37,en,control_plans,plan,https://te.eg/en/personal/mobile/control/super-kix,True,0.96,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;kix_units_extracted;consumption_rules_extracted;quota_from_consumption_rule_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built,622,398,True,*707*37#,*707*37#,1 MB,,1000,True,True,True,False,
d8a68890e3f6365b83e3dd03f1b933750611366a249694be79edd34035a7cf33,Super Kix,en,control_plans,plan,https://te.eg/en/personal/mobile/control/super-kix,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;ui_noise_title_replaced;subscription_code_extracted;kix_units_extracted;consumption_rules_extracted;quota_from_consumption_rule_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built,574,381,True,*707*37#,*707*37#,1 MB,,1000,False,True,True,False,
d5e7ebfae2008fcd2abea9355e94193f465374c7a3ac3fa8334555e5a5d9a01d,"1,000 Kix",en,control_plans,plan,https://te.eg/en/personal/mobile/control/super-kix,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;kix_units_extracted;consumption_rules_extracted;quota_from_consumption_rule_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built,514,381,True,*707*37#,*707*37#,1 MB,,1000,False,True,True,False,
10fa4cf0088d93ef342c89937df0533cd664236346e7d541037dc659012f7755,Super Kix 52,en,control_plans,plan,https://te.eg/en/personal/mobile/control/super-kix,True,0.96,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;kix_units_extracted;consumption_rules_extracted;quota_from_consumption_rule_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built,622,398,True,*707*52#,*707*52#,1 MB,,1800,True,True,True,False,
f2eaa5f01a7aa33b730147b5982dd25e3b98dff39e113e04fe45284e037b9b98,Super Kix,en,control_plans,plan,https://te.eg/en/personal/mobile/control/super-kix,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;ui_noise_title_replaced;subscription_code_extracted;kix_units_extracted;consumption_rules_extracted;quota_from_consumption_rule_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built,574,381,True,*707*52#,*707*52#,1 MB,,1800,False,True,True,False,
6c8fd16bcffb262078549f5a1865012ef5b6f8d48cbf4488a9623641ecbaf289,"1,800 Kix",en,control_plans,plan,https://te.eg/en/personal/mobile/control/super-kix,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;kix_units_extracted;consumption_rules_extracted;quota_from_consumption_rule_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built,514,381,True,*707*52#,*707*52#,1 MB,,1800,False,True,True,False,
acb096f67b4aaa9586cc2da12da1bb0709640268fab0bb663b7a713fdf53fe25,Super Kix 69,en,control_plans,plan,https://te.eg/en/personal/mobile/control/super-kix,True,0.96,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;kix_units_extracted;consumption_rules_extracted;quota_from_consumption_rule_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built,731,437,True,*707*69#,*707*69#,1 MB,,2800,True,True,True,False,
fd136972bf9fef05cea71f7b95b68a05c6c8acc40375a29b8b260f2436bc3162,Super Kix,en,control_plans,plan,https://te.eg/en/personal/mobile/control/super-kix,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;ui_noise_title_replaced;subscription_code_extracted;kix_units_extracted;consumption_rules_extracted;quota_from_consumption_rule_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built,683,420,True,*707*69#,*707*69#,1 MB,,2800,False,True,True,False,
